Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
AC006116.20		ENSG00000267710		19	56272769-56310450	Predicted secreted proteins	Evidence at transcript level							Mixed	Tissue enriched	699	epididymis: 120.3	ovary,thyroid gland: 0.1	Not detected		
AC009133.22		ENSG00000277669		16	29663279-29695144	Predicted secreted proteins	Evidence at protein level	HPA011887	Uncertain					Not detected	Tissue enhanced		colon: 2.6;duodenum: 1.8;spleen: 1.0	lung: 0.4	Cell line enhanced		BEWO: 44.0;EFO-21: 114.1;SH-SY5Y: 19.3
AC011513.3		ENSG00000267881		19	41708612-41761282	Predicted secreted proteins	Evidence at transcript level	HPA011041	Approved					Tissue enhanced	Group enriched	11	colon: 41.2;esophagus: 10.3	appendix: 2.4	Not detected		
AC114783.1		ENSG00000237524		2	126898882-126902097	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level							Not detected	Tissue enriched	183	testis: 57.8	kidney: 0.3	Not detected		
AC136352.2		ENSG00000277666		Unmapped	100123-101141	Predicted secreted proteins	Evidence at protein level	HPA003342	Uncertain						Not detected			all non-specific tissues: 0.0	Not detected		
AC233755.1		ENSG00000275063		Unmapped	41444-41876	Predicted secreted proteins	Evidence at transcript level								Tissue enhanced		urinary bladder: 1019.5	tonsil: 662.1	Cell line enriched	8	REH: 129.3
ACACB	ACC2, ACCB, HACC275	ENSG00000076555	Acetyl-CoA carboxylase beta	12	109116595-109268226	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA006554	Enhanced				Renal cancer:1.15e-5 (favourable), Pancreatic cancer:1.93e-4 (favourable)	Expressed in all	Tissue enriched	6	adipose tissue: 194.8	parathyroid gland: 30.6	Cell line enriched	13	ASC diff: 152.8
ACAN	AGC1, CSPG1, CSPGCP, MSK16	ENSG00000157766	Aggrecan	15	88803443-88875354	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB016377, HPA038241, HPA038242	Enhanced				Renal cancer:1.47e-6 (unfavourable)	Mixed	Tissue enhanced		seminal vesicle: 5.0	testis: 3.3	Cell line enriched	5	WM-115: 28.1
ACE	ACE1, CD143, DCP1	ENSG00000159640	Angiotensin I converting enzyme	17	63477061-63498380	Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB002426, CAB002921, HPA029298, HPA069790	Enhanced		Approved	Vesicles		Expressed in all	Tissue enhanced		duodenum: 178.9;small intestine: 291.6	testis: 83.7	Cell line enhanced		ASC TERT1: 44.4;HUVEC TERT2: 28.2
ACHE	YT	ENSG00000087085	Acetylcholinesterase (Cartwright blood group)	7	100889994-100896974	Blood group antigen proteins, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA019704, HPA027098			Approved	Golgi apparatus<br>Vesicles	Renal cancer:3.88e-5 (unfavourable), Glioma:7.16e-4 (unfavourable)	Mixed	Tissue enhanced		skeletal muscle: 58.5	cerebral cortex: 14.1	Cell line enhanced		BEWO: 11.7;CACO-2: 17.5;K-562: 20.7;Karpas-707: 25.8
ACP2	LAP	ENSG00000134575	Acid phosphatase 2, lysosomal	11	47239302-47248906	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level						Endometrial cancer:1.04e-4 (favourable)	Expressed in all	Expressed in all			duodenum: 41.2	Expressed in all		
ACP5	HPAP, TRAP	ENSG00000102575	Acid phosphatase 5, tartrate resistant	19	11574660-11579008	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB002584, HPA057655, HPA059463	Enhanced		Approved	Cytosol		Expressed in all	Tissue enhanced		lung: 254.0	lymph node: 86.3	Cell line enhanced		BEWO: 36.2;SK-MEL-30: 85.3;U-138 MG: 97.5
ACP7	FLJ16165, PAPL, PAPL1	ENSG00000183760	Acid phosphatase 7, tartrate resistant (putative)	19	39083913-39111493	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA042005, HPA042613	Uncertain					Group enriched	Group enriched	6	cerebral cortex: 1.8;skin: 6.9;tonsil: 2.3	epididymis,prostate: 0.5	Cell line enhanced		hTEC/SVTERT24-B: 9.3;U-87 MG: 43.5
ACR		ENSG00000100312	Acrosin	22	50738196-50745334	Enzymes, Predicted secreted proteins	Evidence at protein level	HPA048687	Enhanced					Not detected	Tissue enriched	57	testis: 58.0	spleen: 1.0	Not detected		
ACRBP	CT23, OY-TES-1, SP32	ENSG00000111644	Acrosin binding protein	12	6638075-6647460	Predicted secreted proteins	Evidence at protein level	HPA039081, HPA039082	Enhanced		Approved	Nucleoplasm<br>Vesicles		Mixed	Tissue enriched	19	testis: 432.5	thyroid gland: 22.6	Cell line enhanced		HMC-1: 5.8;U-266/70: 11.3;U-266/84: 7.3
ACRV1	D11S4365, SP-10, SPACA2	ENSG00000134940	Acrosomal vesicle protein 1	11	125671522-125681123	Predicted secreted proteins	Evidence at protein level	HPA038718, HPA038719	Enhanced					Mixed	Tissue enriched	40	testis: 153.6	epididymis: 3.8	Mixed		
ACTL10	C20orf134	ENSG00000182584	Actin like 10	20	33666498-33668525	Predicted secreted proteins	Evidence at transcript level							Mixed	Tissue enriched	15	testis: 22.1	prostate: 1.4	Cell line enhanced		RPMI-8226: 3.3;SiHa: 3.6
ACTR3C	ARP11	ENSG00000106526	ARP3 actin-related protein 3 homolog C	7	150243916-150323725	Predicted intracellular proteins	Evidence at transcript level	HPA055957	Uncertain					Mixed	Tissue enriched	6	parathyroid gland: 87.3	adrenal gland: 15.8	Cell line enhanced		CAPAN-2: 27.5;RT4: 21.3;SiHa: 18.9
ACVR1	ACVR1A, ACVRLK2, ALK2, SKR1	ENSG00000115170	Activin A receptor type 1	2	157736444-157875862	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007505, HPA046514	Approved		Approved	Nucleoli<br>Cytosol	Urothelial cancer:5.17e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 74.2	Mixed		
ACVR1C	ACVRLK7, ALK7	ENSG00000123612	Activin A receptor type 1C	2	157526767-157629005	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007982, HPA011933	Approved					Mixed	Tissue enriched	8	adipose tissue: 34.1	ovary: 4.3	Cell line enhanced		ASC diff: 7.5;HDLM-2: 4.8
ACVRL1	ACVRLK1, ALK1, HHT, HHT2, ORW2	ENSG00000139567	Activin A receptor like type 1	12	51906908-51923361	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007041	Approved					Expressed in all	Tissue enhanced		placenta: 126.4	lung: 76.4	Cell line enhanced		ASC diff: 42.2;EFO-21: 52.0;HUVEC TERT2: 171.4;TIME: 130.8
ACYP1		ENSG00000119640	Acylphosphatase 1	14	75053221-75069483	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA034944	Approved		Approved	Nucleus<br>Cytosol	Liver cancer:6.14e-7 (unfavourable), Breast cancer:1.17e-4 (favourable)	Expressed in all	Expressed in all			adrenal gland: 46.4	Expressed in all		
ADAM10	CD156c, HsT18717, kuz, MADM	ENSG00000137845	ADAM metallopeptidase domain 10	15	58588807-58749978	Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB001709, HPA050670	Approved		Supported	Vesicles<br>Plasma membrane	Lung cancer:8.46e-5 (unfavourable), Pancreatic cancer:1.90e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 47.9	Expressed in all		
ADAM12	MCMPMltna, MLTN	ENSG00000148848	ADAM metallopeptidase domain 12	10	126012381-126388455	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA030866, HPA030867, HPA030868	Enhanced		Supported	Plasma membrane	Renal cancer:2.39e-14 (unfavourable)	Mixed	Tissue enriched	8	placenta: 237.2	cervix, uterine: 29.7	Cell line enhanced		fHDF/TERT166: 119.5;hTEC/SVTERT24-B: 94.3;U-2197: 86.6;U-251 MG: 71.0
ADAM15	MDC15	ENSG00000143537	ADAM metallopeptidase domain 15	1	155050566-155062775	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA011633, HPA072878	Uncertain		Uncertain	Vesicles	Renal cancer:5.64e-9 (unfavourable), Glioma:3.49e-5 (unfavourable), Liver cancer:3.49e-4 (unfavourable)	Expressed in all	Expressed in all			skin: 72.6	Cell line enhanced		PC-3: 305.3
ADAM17	CD156B, cSVP, TACE	ENSG00000151694	ADAM metallopeptidase domain 17	2	9488486-9555792	CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA010738, CAB025906, HPA051575	Approved		Supported	Cytosol	Urothelial cancer:4.23e-5 (unfavourable)	Expressed in all	Expressed in all			placenta: 33.8	Expressed in all		
ADAM18	ADAM27, tMDCIII	ENSG00000168619	ADAM metallopeptidase domain 18	8	39584489-39730064	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Not detected	Tissue enriched	85	testis: 8.4	all non-specific tissues: 0.0	Not detected		
ADAM22	MDC2	ENSG00000008277	ADAM metallopeptidase domain 22	7	87934143-88202889	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA050325			Approved	Cell Junctions		Mixed	Tissue enhanced		cerebral cortex: 47.6	prostate: 18.2	Cell line enhanced		Karpas-707: 58.7;SH-SY5Y: 81.7
ADAM28	ADAM23, eMDCII, MDC-Lm, MDC-Ls	ENSG00000042980	ADAM metallopeptidase domain 28	8	24294040-24359018	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA074034	Enhanced		Approved	Plasma membrane<br>Mitochondria	Endometrial cancer:3.17e-4 (favourable)	Mixed	Tissue enhanced		epididymis: 435.5	stomach: 104.6	Cell line enriched	10	CAPAN-2: 24.6
ADAM29	CT73, svph1	ENSG00000168594	ADAM metallopeptidase domain 29	4	174829668-174978180	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Not detected	Tissue enriched	145	testis: 73.3	endometrium: 0.5	Not detected		
ADAM32		ENSG00000197140	ADAM metallopeptidase domain 32	8	39106990-39284911	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA044156, HPA062151	Enhanced		Approved	Nucleus<br>Vesicles		Not detected	Tissue enriched	35	testis: 28.7	skin: 0.8	Cell line enhanced		U-2 OS: 1.1
ADAM33	C20orf153, dJ964F7.1, DKFZp434K0521	ENSG00000149451	ADAM metallopeptidase domain 33	20	3667965-3682246	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA067152, HPA071758	Approved		Uncertain	Nuclear speckles<br>Plasma membrane		Mixed	Mixed			endometrium: 103.3	Cell line enhanced		ASC diff: 55.2;ASC TERT1: 72.4;BJ: 31.3;BJ hTERT+: 51.1;fHDF/TERT166: 29.6;U-2197: 46.1
ADAM7	EAPI, GP-83	ENSG00000069206	ADAM metallopeptidase domain 7	8	24440930-24526970	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA008879	Enhanced					Group enriched	Tissue enriched	199	epididymis: 4534.6	seminal vesicle: 22.7	Group enriched	23	BEWO: 2.3;NB-4: 3.9;RPMI-8226: 1.1;SH-SY5Y: 1.9
ADAM8	CD156, CD156a, MS2	ENSG00000151651	ADAM metallopeptidase domain 8	10	133262403-133276868	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA064637	Approved				Renal cancer:3.99e-10 (unfavourable)	Expressed in all	Tissue enhanced		bone marrow: 43.8;spleen: 32.9	appendix: 30.1	Cell line enhanced		A-431: 51.7;BEWO: 78.4;CAPAN-2: 61.7;HaCaT: 61.1;HDLM-2: 42.3;U-87 MG: 33.6
ADAM9	CORD9, KIAA0021, MCMP, MDC9, Mltng	ENSG00000168615	ADAM metallopeptidase domain 9	8	38996869-39105144	Cancer-related genes, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA004000			Approved	Endoplasmic reticulum<br>Vesicles	Liver cancer:7.21e-6 (unfavourable), Pancreatic cancer:2.52e-5 (unfavourable), Breast cancer:1.14e-4 (unfavourable), Cervical cancer:2.25e-4 (unfavourable), Renal cancer:3.99e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 118.7	Expressed in all		
ADAMDEC1	M12.219	ENSG00000134028	ADAM like decysin 1	8	24384285-24406013	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level							Expressed in all	Tissue enhanced		colon: 210.9;rectum: 339.7;small intestine: 476.3	duodenum: 189.1	Group enriched	7	U-266/70: 8.1;U-266/84: 1.9
ADAMTS1	C3-C5, KIAA1346, METH1	ENSG00000154734	ADAM metallopeptidase with thrombospondin type 1 motif 1	21	26835747-26845409	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB016394	Uncertain				Head and neck cancer:5.13e-4 (unfavourable)	Expressed in all	Tissue enhanced		ovary: 412.9	adipose tissue: 279.9	Cell line enhanced		BJ: 346.6;hTEC/SVTERT24-B: 277.6
ADAMTS10	ADAM-TS10	ENSG00000142303	ADAM metallopeptidase with thrombospondin type 1 motif 10	19	8580242-8610735	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA040223	Uncertain		Uncertain	Cytosol	Renal cancer:4.55e-9 (unfavourable)	Expressed in all	Mixed			endometrium: 5.9	Cell line enhanced		NB-4: 24.4;REH: 9.3
ADAMTS12		ENSG00000151388	ADAM metallopeptidase with thrombospondin type 1 motif 12	5	33523535-33892192	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA035973, HPA075079	Uncertain		Approved	Nucleoli<br>Mitochondria	Urothelial cancer:6.78e-4 (unfavourable)	Mixed	Mixed			adipose tissue: 9.8	Cell line enhanced		hTEC/SVTERT24-B: 48.2;U-2 OS: 38.4
ADAMTS14		ENSG00000138316	ADAM metallopeptidase with thrombospondin type 1 motif 14	10	70672803-70762441	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA034605			Uncertain	Cytosol		Mixed	Tissue enhanced		gallbladder: 10.9;placenta: 11.1	urinary bladder: 4.4	Cell line enhanced		CAPAN-2: 8.0;K-562: 9.5;RH-30: 5.3;U-138 MG: 8.8
ADAMTS15		ENSG00000166106	ADAM metallopeptidase with thrombospondin type 1 motif 15	11	130448974-130476641	Predicted secreted proteins	Evidence at transcript level	HPA042867	Uncertain		Approved	Cytosol	Urothelial cancer:5.63e-5 (unfavourable), Glioma:9.00e-4 (favourable), Lung cancer:9.72e-4 (unfavourable)	Mixed	Tissue enhanced		adipose tissue: 30.3;placenta: 23.7	breast: 11.0	Cell line enhanced		ASC diff: 49.3;ASC TERT1: 30.1;EFO-21: 34.5
ADAMTS16	ADAMTS16s	ENSG00000145536	ADAM metallopeptidase with thrombospondin type 1 motif 16	5	5140330-5320304	Predicted secreted proteins	Evidence at protein level						Renal cancer:3.29e-5 (favourable)	Mixed	Tissue enhanced		gallbladder: 9.9;ovary: 11.2	adipose tissue: 6.3	Cell line enhanced		hTEC/SVTERT24-B: 3.9;U-2197: 5.3
ADAMTS17	FLJ16363, FLJ32769	ENSG00000140470	ADAM metallopeptidase with thrombospondin type 1 motif 17	15	99971589-100342005	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA062487			Approved	Nucleus		Mixed	Mixed			endometrium: 3.4	Cell line enhanced		HEK 293: 8.0;SK-MEL-30: 3.4;WM-115: 4.0
ADAMTS18	ADAMTS21	ENSG00000140873	ADAM metallopeptidase with thrombospondin type 1 motif 18	16	77247813-77435114	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA044326	Uncertain					Mixed	Tissue enriched	16	placenta: 29.1	cervix, uterine: 1.8	Group enriched	7	HUVEC TERT2: 6.7;TIME: 2.0;U-87 MG: 4.7
ADAMTS19		ENSG00000145808	ADAM metallopeptidase with thrombospondin type 1 motif 19	5	129460265-129738683	Predicted secreted proteins	Evidence at transcript level	HPA056171, HPA058438	Uncertain		Approved	Vesicles<br>Midbody		Tissue enhanced	Group enriched	13	cervix, uterine: 16.8;endometrium: 16.9;placenta: 5.4;smooth muscle: 9.2	adrenal gland: 0.9	Group enriched	7	MCF7: 12.3;SH-SY5Y: 37.6
ADAMTS2	ADAM-TS2, ADAMTS-3, hPCPNI, NPI, PCINP	ENSG00000087116	ADAM metallopeptidase with thrombospondin type 1 motif 2	5	179110851-179345430	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA028444	Uncertain		Approved	Vesicles<br>Plasma membrane	Renal cancer:1.71e-8 (unfavourable)	Expressed in all	Mixed			placenta: 14.7	Cell line enhanced		HHSteC: 100.5;HSkMC: 69.6
ADAMTS20	GON-1	ENSG00000173157	ADAM metallopeptidase with thrombospondin type 1 motif 20	12	43353866-43551921	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA027608, HPA027609	Uncertain					Not detected	Not detected			placenta: 0.8	Cell line enhanced		Karpas-707: 2.6;NTERA-2: 2.8;U-266/70: 3.1;U-266/84: 1.5
ADAMTS3	ADAMTS-4, KIAA0366	ENSG00000156140	ADAM metallopeptidase with thrombospondin type 1 motif 3	4	72280969-72569386	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	HPA021368, HPA021369	Uncertain		Approved	Intermediate filaments		Mixed	Tissue enhanced		parathyroid gland: 7.3	testis: 3.5	Cell line enhanced		AF22: 13.0;HEL: 12.6;K-562: 10.9;U-2 OS: 8.7
ADAMTS5	ADAMTS11, ADMP-2	ENSG00000154736	ADAM metallopeptidase with thrombospondin type 1 motif 5	21	26917912-26966513	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	HPA005661, CAB025996, HPA030906, HPA030908	Approved		Supported	Nucleoplasm	Renal cancer:2.46e-4 (unfavourable), Thyroid cancer:8.54e-4 (unfavourable)	Mixed	Tissue enhanced		placenta: 42.4	ovary: 24.3	Cell line enhanced		ASC diff: 26.2;fHDF/TERT166: 12.4;RH-30: 40.0;U-87 MG: 14.5
ADAMTS6	ADAM-TS6	ENSG00000049192	ADAM metallopeptidase with thrombospondin type 1 motif 6	5	65148736-65481920	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	HPA043441	Enhanced					Mixed	Tissue enhanced		placenta: 2.7	gallbladder: 2.3	Cell line enhanced		HBF TERT88: 13.0;hTEC/SVTERT24-B: 12.5;TIME: 11.8;U-2197: 15.1
ADAMTS7	ADAM-TS7, DKFZp434H204	ENSG00000136378	ADAM metallopeptidase with thrombospondin type 1 motif 7	15	78759203-78811431	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA045284, HPA048453	Uncertain		Supported	Vesicles	Stomach cancer:9.53e-4 (unfavourable)	Mixed	Tissue enhanced		endometrium: 7.2	heart muscle: 4.3	Cell line enriched	9	HMC-1: 229.5
ADAMTS8	ADAM-TS8, FLJ41712, METH2	ENSG00000134917	ADAM metallopeptidase with thrombospondin type 1 motif 8	11	130404925-130428993	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at transcript level	HPA066349	Approved				Endometrial cancer:1.38e-4 (favourable)	Tissue enhanced	Tissue enhanced		appendix: 10.9;lung: 15.5	seminal vesicle: 5.5	Cell line enhanced		HMC-1: 3.2;NTERA-2: 1.8;U-2 OS: 8.7
ADAMTS9	KIAA1312	ENSG00000163638	ADAM metallopeptidase with thrombospondin type 1 motif 9	3	64515654-64688000	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA028567, HPA028577, HPA028601	Approved		Approved	Endoplasmic reticulum<br>Vesicles		Expressed in all	Tissue enhanced		placenta: 45.1	adipose tissue: 32.1	Cell line enhanced		RPTEC TERT1: 20.9;SH-SY5Y: 136.2;WM-115: 27.9
ADAMTSL1	ADAMTSR1, C9orf94, FLJ35283	ENSG00000178031	ADAMTS like 1	9	17906563-18910950	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA057437	Uncertain					Mixed	Tissue enhanced		endometrium: 24.1	smooth muscle: 18.7	Cell line enhanced		ASC TERT1: 81.0;hTEC/SVTERT24-B: 62.6;TIME: 164.0;U-138 MG: 93.4
ADAMTSL2	KIAA0605	ENSG00000197859	ADAMTS like 2	9	133532164-133575519	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA045634, HPA053812	Approved		Approved	Vesicles	Colorectal cancer:5.01e-4 (unfavourable), Pancreatic cancer:6.70e-4 (favourable)	Expressed in all	Tissue enhanced		adrenal gland: 29.0	kidney: 11.2	Cell line enhanced		Hep G2: 4.9;RPMI-8226: 6.9;SH-SY5Y: 31.9
ADAMTSL3	KIAA1233, punctin-2	ENSG00000156218	ADAMTS like 3	15	83654086-84039842	Predicted secreted proteins	Evidence at protein level	HPA034773, HPA034774	Approved		Approved	Vesicles		Mixed	Mixed			placenta: 14.9	Group enriched	6	EFO-21: 11.2;RPTEC TERT1: 10.6;TIME: 10.7;U-2 OS: 2.4
ADAMTSL4	DKFZP434K1772, TSRC1	ENSG00000143382	ADAMTS like 4	1	150549369-150560937	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA006279	Approved		Approved	Plasma membrane<br>Cytosol	Renal cancer:4.35e-7 (unfavourable), Glioma:1.63e-4 (unfavourable), Colorectal cancer:1.86e-4 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 88.9	lung: 32.3	Cell line enhanced		ASC TERT1: 64.0;BEWO: 191.0;K-562: 60.1
ADAMTSL5	THSD6	ENSG00000185761	ADAMTS like 5	19	1505018-1513604	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA044050			Approved	Golgi apparatus		Mixed	Tissue enhanced		cervix, uterine: 29.0	smooth muscle: 17.4	Mixed		
ADCYAP1	PACAP	ENSG00000141433	Adenylate cyclase activating polypeptide 1	18	904943-912172	Predicted secreted proteins	Evidence at protein level	HPA065887		Approved			Renal cancer:2.91e-6 (favourable)	Tissue enhanced	Tissue enhanced		appendix: 19.3;cerebral cortex: 16.0;gallbladder: 15.7	testis: 5.6	Cell line enriched	17	SCLC-21H: 20.8
ADCYAP1R1	PAC1, PAC1R, PACAPR	ENSG00000078549	ADCYAP receptor type I	7	31052461-31111479	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA030739, HPA049877	Enhanced		Supported	Vesicles	Endometrial cancer:5.78e-4 (favourable)	Tissue enriched	Tissue enhanced		cerebral cortex: 137.1;fallopian tube: 46.8	cervix, uterine: 20.7	Group enriched	6	AF22: 3.6;NTERA-2: 4.9;SCLC-21H: 4.8;SH-SY5Y: 7.8
