"Gene","Plate number","Well number","Clone ID","ORF_length","Trans_mem_ref_acc","Other_acc","Definition","Accession","Protein","LocusLink ID","Unigene ID","Gene synonym","Ensembl","Gene description","Chromosome","Position","Protein class","Evidence","Antibody","Reliability (IH)","Reliability (Mouse Brain)","Reliability (IF)","Subcellular location","Prognostic p-value","RNA cancer category","RNA tissue category","RNA TS","RNA TS TPM","TPM max in non-specific","RNA cell line category","RNA CS","RNA CS TPM"
"ACRBP",68,"C9","IOH22257",1632,"0",NA,"acrosin binding protein (ACRBP), mRNA.","NM_032489.2","NP_115878.2",84519,"Hs.123239","CT23, OY-TES-1, SP32","ENSG00000111644","Acrosin binding protein","12","6638075-6647460","Predicted secreted proteins","Evidence at protein level","HPA039081, HPA039082","Enhanced",NA,"Approved","Nucleoplasm<br>Vesicles",NA,"Mixed","Tissue enriched",19,"testis: 432.5","thyroid gland: 22.6","Cell line enhanced",NA,"HMC-1: 5.8;U-266/70: 11.3;U-266/84: 7.3"
"ACRV1",18,"B6","IOH11009",798,"0",NA,"acrosomal vesicle protein 1 (ACRV1), transcript variant 1, mRNA.","NM_001612.4","NP_001603.1",56,"Hs.169222","D11S4365, SP-10, SPACA2","ENSG00000134940","Acrosomal vesicle protein 1","11","125671522-125681123","Predicted secreted proteins","Evidence at protein level","HPA038718, HPA038719","Enhanced",NA,NA,NA,NA,"Mixed","Tissue enriched",40,"testis: 153.6","epididymis: 3.8","Mixed",NA,NA
"ACVR1",41,"G2","IOH21860",1530,"NP_001096.1","NP_001096.1","activin A receptor, type I (ACVR1), transcript variant 1, mRNA.","NM_001105.4","NP_001096.1",90,"Hs.470316","ACVR1A, ACVRLK2, ALK2, SKR1","ENSG00000115170","Activin A receptor type 1","2","157736444-157875862","Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA007505, HPA046514","Approved",NA,"Approved","Nucleoli<br>Cytosol","Urothelial cancer:5.17e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"thyroid gland: 74.2","Mixed",NA,NA
"ACVR1C",1,"B11","IOH10813",1482,"NP_660302.1","AAH22530.1","activin A receptor, type IC, mRNA (cDNA clone MGC:26673 IMAGE:4801219), complete cds","BC022530.1","AAH22530.1",130399,"Hs.562901","ACVRLK7, ALK7","ENSG00000123612","Activin A receptor type 1C","2","157526767-157629005","Enzymes, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA007982, HPA011933","Approved",NA,NA,NA,NA,"Mixed","Tissue enriched",8,"adipose tissue: 34.1","ovary: 4.3","Cell line enhanced",NA,"ASC diff: 7.5;HDLM-2: 4.8"
"ACVRL1",40,"F4","IOH21048",1512,"0",NA,"activin A receptor type II-like 1 (ACVRL1), transcript variant 1, mRNA.","NM_000020.2","NP_000011.2",94,"Hs.591026","ACVRLK1, ALK1, HHT, HHT2, ORW2","ENSG00000139567","Activin A receptor like type 1","12","51906908-51923361","Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA007041","Approved",NA,NA,NA,NA,"Expressed in all","Tissue enhanced",NA,"placenta: 126.4","lung: 76.4","Cell line enhanced",NA,"ASC diff: 42.2;EFO-21: 52.0;HUVEC TERT2: 171.4;TIME: 130.8"
"ACYP1",52,"B2","IOH27552",300,"0",NA,"acylphosphatase 1, erythrocyte (common) type (ACYP1), transcript variant 1, mRNA.","NM_001107.3","NP_001098.1",97,"Hs.18573",NA,"ENSG00000119640","Acylphosphatase 1","14","75053221-75069483","Enzymes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA034944","Approved",NA,"Approved","Nucleus<br>Cytosol","Liver cancer:6.14e-7 (unfavourable), Breast cancer:1.17e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"adrenal gland: 46.4","Expressed in all",NA,NA
"ACYP1",107,"G12","IOH44619",168,"0",NA,"acylphosphatase 1, erythrocyte (common) type (ACYP1), transcript variant 2, mRNA.","NM_203488.1","NP_982355.1",97,"Hs.18573",NA,"ENSG00000119640","Acylphosphatase 1","14","75053221-75069483","Enzymes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA034944","Approved",NA,"Approved","Nucleus<br>Cytosol","Liver cancer:6.14e-7 (unfavourable), Breast cancer:1.17e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"adrenal gland: 46.4","Expressed in all",NA,NA
"ADAM12",69,"E4","IOH29226",2214,"NP_003465.2","AAH60804.1","ADAM metallopeptidase domain 12, mRNA (cDNA clone MGC:71621 IMAGE:30348514), complete cds","BC060804.1","AAH60804.1",8038,"Hs.594537","MCMPMltna, MLTN","ENSG00000148848","ADAM metallopeptidase domain 12","10","126012381-126388455","Predicted membrane proteins, Predicted secreted proteins, Transporters","Evidence at protein level","HPA030866, HPA030867, HPA030868","Enhanced",NA,"Supported","Plasma membrane","Renal cancer:2.39e-14 (unfavourable)","Mixed","Tissue enriched",8,"placenta: 237.2","cervix, uterine: 29.7","Cell line enhanced",NA,"fHDF/TERT166: 119.5;hTEC/SVTERT24-B: 94.3;U-2197: 86.6;U-251 MG: 71.0"
"ADAM15",131,"H5","IOH46711",2319,"0",NA,"ADAM metallopeptidase domain 15 (ADAM15), transcript variant 1, mRNA.","NM_207191.1","NP_997074.1",8751,"Hs.312098","MDC15","ENSG00000143537","ADAM metallopeptidase domain 15","1","155050566-155062775","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA011633, HPA072878","Uncertain",NA,"Uncertain","Vesicles","Renal cancer:5.64e-9 (unfavourable), Glioma:3.49e-5 (unfavourable), Liver cancer:3.49e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"skin: 72.6","Cell line enhanced",NA,"PC-3: 305.3"
"ADAM15",91,"G11","IOH12766",2445,"NP_003806.2","AAH14566.1","ADAM metallopeptidase domain 15, mRNA (cDNA clone MGC:2122 IMAGE:2958341), complete cds","BC014566.2","AAH14566.1",8751,"Hs.312098","MDC15","ENSG00000143537","ADAM metallopeptidase domain 15","1","155050566-155062775","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA011633, HPA072878","Uncertain",NA,"Uncertain","Vesicles","Renal cancer:5.64e-9 (unfavourable), Glioma:3.49e-5 (unfavourable), Liver cancer:3.49e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"skin: 72.6","Cell line enhanced",NA,"PC-3: 305.3"
"ADAM22",55,"D7","IOH27232",1029,"NP_004185.1","AAH36029.1","ADAM metallopeptidase domain 22, mRNA (cDNA clone IMAGE:5278621), complete cds.","BC036029.1","AAH36029.1",53616,"Hs.592282","MDC2","ENSG00000008277","ADAM metallopeptidase domain 22","7","87934143-88202889","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA050325",NA,NA,"Approved","Cell Junctions",NA,"Mixed","Tissue enhanced",NA,"cerebral cortex: 47.6","prostate: 18.2","Cell line enhanced",NA,"Karpas-707: 58.7;SH-SY5Y: 81.7"
"ADAM32",136,"B8","IOH56066",2364,"NP_659441.1","NP_659441.3","ADAM metallopeptidase domain 32 (ADAM32), mRNA.","NM_145004.5","NP_659441.3",203102,"Hs.521545",NA,"ENSG00000197140","ADAM metallopeptidase domain 32","8","39106990-39284911","Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA044156, HPA062151","Enhanced",NA,"Approved","Nucleus<br>Vesicles",NA,"Not detected","Tissue enriched",35,"testis: 28.7","skin: 0.8","Cell line enhanced",NA,"U-2 OS: 1.1"
"ADAM33",93,"B6","IOH40734",258,"0",NA,"ADAM metallopeptidase domain 33, mRNA (cDNA clone IMAGE:30405083), complete cds.","BC062663.1","AAH62663.1",80332,"Hs.173716","C20orf153, dJ964F7.1, DKFZp434K0521","ENSG00000149451","ADAM metallopeptidase domain 33","20","3667965-3682246","Disease related genes, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA067152, HPA071758","Approved",NA,"Uncertain","Nuclear speckles<br>Plasma membrane",NA,"Mixed","Mixed",NA,NA,"endometrium: 103.3","Cell line enhanced",NA,"ASC diff: 55.2;ASC TERT1: 72.4;BJ: 31.3;BJ hTERT+: 51.1;fHDF/TERT166: 29.6;U-2197: 46.1"
"ADAMTS1",82,"G10","IOH22476",2904,"0",NA,"ADAM metallopeptidase with thrombospondin type 1 motif, 1, mRNA (cDNA clone MGC:32979 IMAGE:5266513), complete cds","BC036515.2","AAH36515.1",9510,"Hs.643357","C3-C5, KIAA1346, METH1","ENSG00000154734","ADAM metallopeptidase with thrombospondin type 1 motif 1","21","26835747-26845409","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","CAB016394","Uncertain",NA,NA,NA,"Head and neck cancer:5.13e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"ovary: 412.9","adipose tissue: 279.9","Cell line enhanced",NA,"BJ: 346.6;hTEC/SVTERT24-B: 277.6"
"ADAMTS12",67,"C3","IOH29490",690,"0",NA,"ADAM metallopeptidase with thrombospondin type 1 motif, 12, mRNA (cDNA clone IMAGE:6701691), complete cds.","BC058841.1","AAH58841.1",81792,"Hs.12680",NA,"ENSG00000151388","ADAM metallopeptidase with thrombospondin type 1 motif 12","5","33523535-33892192","Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA035973, HPA075079","Uncertain",NA,"Approved","Nucleoli<br>Mitochondria","Urothelial cancer:6.78e-4 (unfavourable)","Mixed","Mixed",NA,NA,"adipose tissue: 9.8","Cell line enhanced",NA,"hTEC/SVTERT24-B: 48.2;U-2 OS: 38.4"
"ADAMTS18",93,"H12","IOH40422",3666,"0",NA,"ADAM metallopeptidase with thrombospondin type 1 motif, 18, mRNA (cDNA clone MGC:71557 IMAGE:30343625), complete cds","BC063283.1","AAH63283.1",170692,"Hs.188746","ADAMTS21","ENSG00000140873","ADAM metallopeptidase with thrombospondin type 1 motif 18","16","77247813-77435114","Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA044326","Uncertain",NA,NA,NA,NA,"Mixed","Tissue enriched",16,"placenta: 29.1","cervix, uterine: 1.8","Group enriched",7,"HUVEC TERT2: 6.7;TIME: 2.0;U-87 MG: 4.7"
"ADAMTSL1",151,"B7","IOH63425",855,"0",NA,"ADAMTS-like 1, mRNA (cDNA clone IMAGE:40000502), complete cds.","BC100790.2","AAI00791.1",92949,"Hs.522019","ADAMTSR1, C9orf94, FLJ35283","ENSG00000178031","ADAMTS like 1","9","17906563-18910950","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA057437","Uncertain",NA,NA,NA,NA,"Mixed","Tissue enhanced",NA,"endometrium: 24.1","smooth muscle: 18.7","Cell line enhanced",NA,"ASC TERT1: 81.0;hTEC/SVTERT24-B: 62.6;TIME: 164.0;U-138 MG: 93.4"
"ADAMTSL1",153,"C4","IOH63419",1404,"0",NA,"ADAMTS-like 1, mRNA (cDNA clone IMAGE:40000500), complete cds.","BC100788.2","AAI00789.1",92949,"Hs.522019","ADAMTSR1, C9orf94, FLJ35283","ENSG00000178031","ADAMTS like 1","9","17906563-18910950","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA057437","Uncertain",NA,NA,NA,NA,"Mixed","Tissue enhanced",NA,"endometrium: 24.1","smooth muscle: 18.7","Cell line enhanced",NA,"ASC TERT1: 81.0;hTEC/SVTERT24-B: 62.6;TIME: 164.0;U-138 MG: 93.4"
"ADAMTSL1",80,"A4","IOH21525",1320,"0",NA,"ADAMTS-like 1, mRNA (cDNA clone MGC:40193 IMAGE:5201199), complete cds","BC030262.1","AAH30262.1",92949,"Hs.522019","ADAMTSR1, C9orf94, FLJ35283","ENSG00000178031","ADAMTS like 1","9","17906563-18910950","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA057437","Uncertain",NA,NA,NA,NA,"Mixed","Tissue enhanced",NA,"endometrium: 24.1","smooth muscle: 18.7","Cell line enhanced",NA,"ASC TERT1: 81.0;hTEC/SVTERT24-B: 62.6;TIME: 164.0;U-138 MG: 93.4"
"ADCYAP1",150,"F6","IOH61996",531,"0",NA,"adenylate cyclase activating polypeptide 1 (pituitary) (ADCYAP1), transcript variant 1, mRNA.","NM_001099733.1","NP_001093203.1",116,"Hs.531719","PACAP","ENSG00000141433","Adenylate cyclase activating polypeptide 1","18","904943-912172","Predicted secreted proteins","Evidence at protein level","HPA065887",NA,"Approved",NA,NA,"Renal cancer:2.91e-6 (favourable)","Tissue enhanced","Tissue enhanced",NA,"appendix: 19.3;cerebral cortex: 16.0;gallbladder: 15.7","testis: 5.6","Cell line enriched",17,"SCLC-21H: 20.8"
"ADI1",26,"B6","IOH4030",540,"0",NA,"acireductone dioxygenase 1 (ADI1), mRNA.","NM_018269.2","NP_060739.2",55256,"Hs.502773","APL1, ARD, FLJ10913, HMFT1638, MTCBP-1, mtnD, SIPL","ENSG00000182551","Acireductone dioxygenase 1","2","3497361-3519736","Enzymes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA035403, HPA035404","Approved",NA,"Supported","Nucleoplasm<br>Golgi apparatus",NA,"Expressed in all","Expressed in all",NA,NA,"liver: 228.3","Expressed in all",NA,NA
"ADIG",123,"D7","IOH57351",243,"0",NA,"adipogenin (ADIG), mRNA.","NM_001018082.1","NP_001018092.1",149685,"Hs.368028","MGC39724, RP5-1100H13.2, SMAF1","ENSG00000182035","Adipogenin","20","38581195-38588463","Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at transcript level","HPA041124","Uncertain",NA,NA,NA,NA,"Tissue enhanced","Group enriched",10,"epididymis: 5.1;testis: 16.1;thyroid gland: 3.4","seminal vesicle: 0.8","Not detected",NA,NA
"ADM",16,"F2","IOH13846",558,"0",NA,"adrenomedullin (ADM), mRNA.","NM_001124.1","NP_001115.1",133,"Hs.441047","AM","ENSG00000148926","Adrenomedullin","11","10304680-10307397","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB016075","Approved",NA,NA,NA,"Renal cancer:6.33e-4 (unfavourable), Liver cancer:7.56e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"placenta: 158.5","Cell line enhanced",NA,"ASC diff: 519.0;U-138 MG: 397.2"
"ADPGK",135,"C10","IOH56962",1494,"0",NA,"ADP-dependent glucokinase, mRNA (cDNA clone MGC:12975 IMAGE:3347312), complete cds","BC006112.1","AAH06112.1",83440,"Hs.654636","ADP-GK, DKFZp434B195","ENSG00000159322","ADP dependent glucokinase","15","72751369-72785846","Enzymes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA045194, HPA058525","Approved",NA,"Approved","Centrosome","Renal cancer:4.52e-7 (unfavourable), Prostate cancer:2.22e-4 (unfavourable)","Expressed in all","Mixed",NA,NA,"lung: 25.1","Expressed in all",NA,NA
"AFM",100,"B4","IOH36008",1800,"0",NA,"afamin (AFM), mRNA.","NM_001133.2","NP_001124.1",173,"Hs.168718","ALB2, ALBA","ENSG00000079557","Afamin","4","73481683-73504001","Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA017006, HPA052437","Enhanced",NA,NA,NA,"Liver cancer:1.80e-4 (favourable)","Tissue enriched","Tissue enriched",6,"liver: 468.3","kidney: 80.9","Cell line enriched",6,"CACO-2: 1.3"
"AFP",17,"F9","IOH11419",1830,"0",NA,"alpha-fetoprotein (AFP), mRNA.","NM_001134.1","NP_001125.1",174,"Hs.518808","FETA, HPAFP","ENSG00000081051","Alpha fetoprotein","4","73431138-73456174","Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA010607, HPA023600, CAB024283, CAB025339","Approved",NA,"Uncertain","Cytosol",NA,"Group enriched","Tissue enhanced",NA,"liver: 1.9","breast: 0.5","Cell line enriched",158,"Hep G2: 1466.5"
"AGA",12,"D3","IOH10474",1041,"0",NA,"aspartylglucosaminidase (AGA), mRNA.","NM_000027.2","NP_000018.1",175,"Hs.207776","ASRG","ENSG00000038002","Aspartylglucosaminidase","4","177430770-177442503","Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA031415, HPA031417","Enhanced",NA,NA,NA,"Liver cancer:1.99e-4 (unfavourable), Head and neck cancer:8.61e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"epididymis: 35.3","Expressed in all",NA,NA
"AGER",7,"D8","IOH12890",1215,"NP_001127.1","NP_001127.1","advanced glycosylation end product-specific receptor (AGER), transcript variant 1, mRNA.","NM_001136.3","NP_001127.1",177,"Hs.534342","RAGE, SCARJ1","ENSG00000204305","Advanced glycosylation end-product specific receptor","6","32180968-32184324","Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","CAB011682, HPA064436","Enhanced",NA,"Approved","Nucleoli fibrillar center<br>Plasma membrane<br>Cell Junctions","Renal cancer:9.01e-7 (unfavourable), Urothelial cancer:2.74e-6 (favourable), Pancreatic cancer:3.41e-4 (favourable)","Expressed in all","Tissue enriched",181,"lung: 889.2","thyroid gland: 4.9","Cell line enhanced",NA,"HEK 293: 2.5;U-266/70: 2.6"
"AGR2",49,"C2","IOH10438",528,"0",NA,"anterior gradient homolog 2 (Xenopus laevis) (AGR2), mRNA.","NM_006408.3","NP_006399.1",10551,"Hs.530009","AG2, HAG-2, PDIA17, XAG-2","ENSG00000106541","Anterior gradient 2, protein disulphide isomerase family member","7","16791811-16833433","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA007912","Enhanced",NA,"Approved","Cytosol","Renal cancer:8.79e-5 (unfavourable), Liver cancer:1.15e-4 (unfavourable)","Mixed","Tissue enhanced",NA,"rectum: 1322.0;stomach: 1307.3","cervix, uterine: 939.5","Cell line enhanced",NA,"A549: 239.4;RPTEC TERT1: 465.3;RT4: 298.0;T-47d: 1243.5"
"AGR3",65,"C7","IOH29439",501,"0",NA,"anterior gradient homolog 3 (Xenopus laevis) (AGR3), mRNA.","NM_176813.3","NP_789783.1",155465,"Hs.100686","BCMP11, hAG-3, HAG3, PDIA18","ENSG00000173467","Anterior gradient 3, protein disulphide isomerase family member","7","16859405-16881987","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA053942","Enhanced",NA,"Supported","Endoplasmic reticulum<br>Vesicles",NA,"Tissue enhanced","Tissue enhanced",NA,"fallopian tube: 354.7;small intestine: 259.5","rectum: 233.8","Cell line enriched",52,"T-47d: 316.6"
"AGT",35,"C11","IOH9674",1458,"0",NA,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8), mRNA (cDNA clone MGC:17092 IMAGE:4213559), complete cds","BC011519.1","AAH11519.1",183,"Hs.19383","SERPINA8","ENSG00000135744","Angiotensinogen","1","230702523-230714297","Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA001557, CAB025798","Supported",NA,NA,NA,NA,"Group enriched","Tissue enhanced",NA,"cerebral cortex: 226.5;liver: 649.6","gallbladder: 133.7","Cell line enhanced",NA,"CACO-2: 60.4;Hep G2: 401.1;THP-1: 150.6"
"AGTRAP",15,"C9","IOH14721",459,"NP_065083.2","NP_001035284.1","angiotensin II receptor-associated protein (AGTRAP), transcript variant 2, mRNA.","NM_001040194.1","NP_001035284.1",57085,"Hs.464438","ATRAP","ENSG00000177674","Angiotensin II receptor associated protein","1","11736084-11754802","Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA044120","Approved",NA,"Supported","Vesicles","Liver cancer:6.57e-7 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"prostate: 92.6","Expressed in all",NA,NA
"AHCYL2",124,"A9","IOH11403",1836,"0",NA,"adenosylhomocysteinase-like 2 (AHCYL2), transcript variant 1, mRNA.","NM_015328.2","NP_056143.1",23382,"Hs.600789","KIAA0828","ENSG00000158467","Adenosylhomocysteinase like 2","7","129225023-129430211","Enzymes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA053128","Uncertain",NA,"Approved","Nucleoplasm<br>Cytosol","Renal cancer:1.08e-7 (favourable), Head and neck cancer:4.17e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"rectum: 194.5","Cell line enriched",9,"HDLM-2: 218.4"
"AHSG",83,"G4","IOH2128",1104,"0",NA,"alpha-2-HS-glycoprotein, mRNA (cDNA clone MGC:52261 IMAGE:5798874), complete cds","BC048198.1","AAH48198.1",197,"Hs.324746","A2HS, FETUA, HSGA","ENSG00000145192","Alpha 2-HS glycoprotein","3","186612923-186621318","Cancer-related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA001524, HPA001525, CAB026209","Enhanced",NA,"Supported","Golgi apparatus",NA,"Tissue enriched","Tissue enriched",1903,"liver: 2823.4","testis: 1.4","Cell line enriched",64,"Hep G2: 1410.0"
